datetime,temp,humidity
2024-05-08 07:05:45+00:00,38.13,50.53
2024-05-08 07:06:45+00:00,38.04,50.76
2024-05-08 07:08:00+00:00,38.15,50.65
2024-05-08 07:09:00+00:00,37.98,50.86
2024-05-08 07:10:00+00:00,38.21,50.51
2024-05-08 07:11:00+00:00,38.14,50.73
2024-05-08 07:12:00+00:00,38.13,50.65
2024-05-08 07:13:00+00:00,38.06,50.77
2024-05-08 07:14:00+00:00,38.17,50.58
2024-05-08 07:15:00+00:00,38.3,50.5
2024-05-08 07:16:00+00:00,37.76,51.39
2024-05-08 07:17:00+00:00,38.04,50.94
2024-05-08 07:18:00+00:00,38.01,50.98
2024-05-08 07:19:00+00:00,38.11,50.78
2024-05-08 07:20:00+00:00,38.14,50.66
2024-05-08 07:21:15+00:00,38.1,50.75
2024-05-08 07:22:15+00:00,38.03,50.78
2024-05-08 07:23:15+00:00,38.1,50.69
2024-05-08 07:24:15+00:00,38.1,50.82
2024-05-08 07:25:15+00:00,38.22,50.46
2024-05-08 07:26:15+00:00,38.1,50.67
2024-05-08 07:27:15+00:00,37.98,50.92
2024-05-08 07:28:15+00:00,38.08,50.74
2024-05-08 07:29:15+00:00,38.03,50.8
2024-05-08 07:30:15+00:00,38.22,50.53
2024-05-08 07:31:15+00:00,38.05,50.75
2024-05-08 07:32:15+00:00,38.34,49.72
2024-05-08 07:33:30+00:00,38.22,50.32
2024-05-08 07:34:30+00:00,38.42,50.29
2024-05-08 07:35:30+00:00,38.23,50.45
2024-05-08 07:36:30+00:00,38.2,50.51
2024-05-08 07:37:30+00:00,38.0,50.72
2024-05-08 07:38:30+00:00,38.2,50.39
2024-05-08 07:39:30+00:00,38.14,50.47
2024-05-08 07:40:30+00:00,38.12,50.56
2024-05-08 07:41:30+00:00,38.14,50.56
2024-05-08 07:42:30+00:00,38.14,50.48
2024-05-08 07:43:30+00:00,38.02,50.73
2024-05-08 07:44:30+00:00,38.06,50.6
2024-05-08 07:45:45+00:00,38.03,50.73
2024-05-08 07:46:45+00:00,38.14,50.47
2024-05-08 07:47:45+00:00,38.13,50.64
2024-05-08 07:48:45+00:00,38.1,50.99
2024-05-08 07:49:45+00:00,38.13,50.64
2024-05-08 07:50:45+00:00,38.05,50.87
2024-05-08 07:51:45+00:00,38.14,50.69
2024-05-08 07:52:45+00:00,38.05,50.97
2024-05-08 07:53:45+00:00,38.3,50.45
2024-05-08 07:54:45+00:00,38.14,50.65
2024-05-08 07:55:45+00:00,38.13,50.68
2024-05-08 07:56:45+00:00,37.93,51.14
2024-05-08 07:58:00+00:00,38.09,50.87
2024-05-08 07:59:00+00:00,38.18,50.52
2024-05-08 08:00:00+00:00,37.88,50.49
2024-05-08 08:01:00+00:00,38.06,50.32
2024-05-08 08:02:00+00:00,38.01,50.46
2024-05-08 08:03:00+00:00,38.16,50.06
2024-05-08 08:04:00+00:00,38.29,49.8
2024-05-08 08:05:00+00:00,38.07,50.21
2024-05-08 08:06:00+00:00,38.45,49.62
2024-05-08 08:07:00+00:00,38.14,49.97
2024-05-08 08:08:00+00:00,38.05,50.14
2024-05-08 08:09:00+00:00,37.93,50.2
2024-05-08 08:10:00+00:00,38.42,49.71
2024-05-08 08:11:15+00:00,38.53,49.51
2024-05-08 08:12:15+00:00,38.19,50.17
2024-05-08 08:13:15+00:00,38.29,50.01
2024-05-08 08:14:15+00:00,37.88,50.77
2024-05-08 08:15:15+00:00,38.16,50.42
2024-05-08 08:16:15+00:00,38.37,50.12
2024-05-08 08:17:15+00:00,38.21,50.49
2024-05-08 08:18:15+00:00,37.3,52.07
2024-05-08 08:19:15+00:00,37.57,51.54
2024-05-08 08:20:15+00:00,37.29,51.97
2024-05-08 08:21:15+00:00,38.46,50.15
2024-05-08 08:22:15+00:00,38.73,49.53
2024-05-08 08:23:30+00:00,38.36,50.22
2024-05-08 08:24:30+00:00,38.18,50.62
2024-05-08 08:25:30+00:00,38.35,50.37
2024-05-08 08:26:30+00:00,38.5,50.05
2024-05-08 08:27:30+00:00,38.58,49.84
2024-05-08 08:28:30+00:00,38.77,49.51
2024-05-08 08:29:30+00:00,38.98,48.5
2024-05-08 08:30:30+00:00,39.41,46.0
2024-05-08 08:31:30+00:00,39.45,43.49
2024-05-08 08:32:30+00:00,39.04,45.48
2024-05-08 08:33:30+00:00,38.65,47.82
2024-05-08 08:34:30+00:00,38.65,48.39
2024-05-08 08:35:30+00:00,39.03,47.18
2024-05-08 08:36:45+00:00,39.25,45.75
2024-05-08 08:37:45+00:00,39.24,45.88
2024-05-08 08:38:45+00:00,39.37,45.14
2024-05-08 08:39:45+00:00,39.02,47.12
